discord_username,Summoner IGN,Positions,Rank Score,Stated Rank,Peak Rank,Rank Diff Score,Current Ego Rank,Peak Ego Rank,S2024 S2,S2024 S1,S2023 S3,S2023 S2,S2023 S1
jayrich1101,PeepaTheHound#Molly,ADC,14.0,Diamond 3,Diamond 4 15 LP,0.8500000000000014,Diamond 4 11 LP,Diamond 4 15 LP,Emerald 4 0 LP,,,,
ifearnobody,I fear nobody#NA1,Jungle,14.0,Diamond 3,Master 0 LP,-3.0,,Diamond 3 70 LP,,,,Diamond 1 0 LP,Master 0 LP
bluewu.,Blue#UU70,Mid,14.0,Diamond 2,Master 15 LP,-2.1499999999999986,,Diamond 2 49 LP,Master 15 LP,,,,
ffsfruit,NAQI#crack,Mid,15.0,Diamond 4,Diamond 2 6 LP,-2.0599999999999987,,Diamond 2 6 LP,Diamond 4 20 LP,,,Diamond 3 63 LP,
DavidEdge,DavidEdge#NA1,Support,15.0,Diamond 2,Diamond 2 57 LP,-0.5700000000000003,,Diamond 4 8 LP,Diamond 4 65 LP,Diamond 2 57 LP,,,
hwasal06,SEXWOMY#NA1,Mid,15.0,Diamond 1,Emerald 3 13 LP,5.870000000000001,,,Emerald 3 1 LP,Emerald 4 61 LP,,Emerald 3 13 LP,
Xeuhktal,Xeuhktal#NA1,Top,16.0,Diamond 4,Master 10 LP,-4.100000000000001,,,Master 10 LP,Master 0 LP,,Diamond 2 14 LP,
GourmetCookies,BoyHoleBuccaneer#Boom | GourmetCookies#NA1,Support,16.0,Emerald 1,Master 0 LP,-5.0,Diamond 4 5 LP,,,Diamond 4 31 LP,,Master 0 LP,
akudame_ikumika,Akudame Ikumika#NA1,Jungle,16.0,Diamond 2,Diamond 1 27 LP,-1.2699999999999996,Diamond 2 8 LP,Diamond 1 27 LP,,,,,Diamond 3 21 LP
kessler_kora,Kessler#KORA,Mid,16.0,Emerald 4,Master 47 LP,-8.469999999999999,,,,Diamond 3 48 LP,,Master 47 LP,
catinatin,Happiercat477#NA1,Mid,17.0,Emerald 2,Diamond 2 13 LP,-4.129999999999999,,Emerald 2 90 LP,Diamond 2 13 LP,Diamond 4 6 LP,,,
Mcfasho,MCFasho#NA1,Jungle,17.0,Emerald 2,Diamond 3 7 LP,-3.0700000000000003,,,Diamond 3 7 LP,Diamond 4 1 LP,,Emerald 1 14 LP,
w0ld,Death#March,Support,17.0,Emerald 1,Diamond 2 6 LP,-3.0599999999999987,,,Diamond 2 6 LP,Diamond 3 0 LP,,,Diamond 3 0 LP
gziemiyo,StepAcid#NA1 | AcidStep#NA1,Mid|Jungle,17.0,Diamond 1,Diamond 2 63 LP,0.370000000000001,Diamond 4 53 LP,Diamond 4 57 LP,Diamond 2 63 LP,,,,
Kuroaf,Kuroaf#NA1,Jungle|Top,17.6,Diamond 3,Diamond 4 22 LP,0.7800000000000011,,Diamond 4 0 LP,Emerald 1 75 LP,Diamond 4 22 LP,,,
benjamminlol,Top Tower#NA1,Top,18.0,Diamond 4,Diamond 3 14 LP,-1.1400000000000006,,Diamond 3 14 LP,,Diamond 4 37 LP,,,
kristangent.,6 foot 1  Jacked#Gojo,Jungle,18.0,Diamond 1,Diamond 2 9 LP,0.9100000000000001,,Emerald 1 30 LP,Diamond 2 9 LP,,,Emerald 2 11 LP,
Luytenn,Luyten#NA1,ADC,18.0,Emerald 3,Diamond 4 24 LP,-3.2399999999999984,Emerald 3 81 LP,Emerald 3 81 LP,Diamond 4 24 LP,,,,
ookami_mio,Gawr Goomba#shark,Top,18.0,Emerald 1,Diamond 2 0 LP,-3.0,,,,,,Diamond 4 32 LP,Diamond 3 26 LP
asadbanana,Banana#54010,Top,18.0,Diamond 3,Diamond 3 65 LP,-0.6499999999999986,Diamond 4 73 LP,Diamond 3 65 LP,Diamond 4 0 LP,,,,
karismxtic,karismxtic#NA1,Mid,nan,Diamond 4,Diamond 4 42 LP,-0.4200000000000017,Emerald 4 36 LP,Diamond 4 42 LP,Diamond 4 14 LP,,,,
.f_g.,vowels#aeiou,Top|Mid,18.0,Emerald 2,Diamond 4 0 LP,-2.0,,Emerald 2 27 LP,Diamond 4 0 LP,,,Diamond 4 0 LP,
yushuYoshi,Yoshi#Yushu,Top,18.0,Diamond 3,Diamond 2 0 LP,-1.0,,Diamond 4 37 LP,,Diamond 2 0 LP,,Diamond 4 1 LP,
xbalmer,Balmer#024,ADC,18.0,Emerald 1,Diamond 3 0 LP,-2.0,,,Diamond 4 30 LP,Diamond 4 1 LP,,,Diamond 3 0 LP
Epicphail2,OshaInspector#OSH,Jungle,19.0,Gold 1-4,Emerald 4 90 LP,-7.399999999999999,,,Emerald 4 2 LP,Emerald 4 90 LP,,,
Drysicle,Drysicle#NA1,Top|Support,20.0,Emerald 2,Diamond 4 27 LP,-2.2699999999999996,Emerald 1 34 LP,Emerald 1 74 LP,Diamond 4 27 LP,,,,
Edmontosaurus,Edmontosaurus#KogOT,ADC,20.0,Emerald 2,Emerald 2 36 LP,-0.35999999999999943,,Emerald 3 80 LP,Emerald 2 36 LP,,,Emerald 2 0 LP,
xenux,Xenux#Xenux,Top|Mid,21.0,Emerald 3,Diamond 2 31 LP,-5.309999999999999,,,Diamond 4 15 LP,Diamond 2 31 LP,,Diamond 4 35 LP,
numberzer0,Number Zer0#NA1,Mid,21.0,Emerald 2,Diamond 3 5 LP,-3.0500000000000007,,Emerald 2 46 LP,Diamond 3 5 LP,Diamond 4 63 LP,,,
Lord Tubbyton,Lord Tubbyton#NA1,Mid|Support,nan,Emerald 2,Diamond 4 16 LP,-2.16,,Diamond 4 16 LP,Emerald 1 68 LP,Diamond 4 0 LP,,,
jinjguchiha,L9 JinJG#JinJG,Jungle,21.0,Emerald 2,Diamond 3 24 LP,-3.2399999999999984,Emerald 2 6 LP,Emerald 2 6 LP,Diamond 3 24 LP,,,,
axekiller1107,acekiller1107#1060,Jungle|Support,21.0,Emerald 1,Platinum 2 28 LP,4.719999999999999,Gold 3 61 LP,,,Platinum 2 28 LP,,Platinum 4 0 LP,
_lakuna,Lakuna#TAU3,Jungle,21.0,Emerald 4,Diamond 4 41 LP,-4.41,,Emerald 4 43 LP,Diamond 4 41 LP,,,Emerald 4 36 LP,
aguriv,추방 Agu#BRNA,Top,21.0,Platinum 1-4,Diamond 4 1 LP,-6.510000000000002,,Emerald 3 66 LP,,Emerald 1 0 LP,,Diamond 4 1 LP,
vanos____,weddchan#2404,ADC|Mid,22.0,Emerald 2,Emerald 3 65 LP,0.3500000000000014,,Emerald 3 48 LP,Emerald 3 65 LP,Emerald 4 29 LP,,,
Whynot99.,Akatsuki37046#NA1 | Chignild#NA1,Jungle,22.0,Emerald 3,Diamond 3 43 LP,-4.43,,Emerald 4 79 LP,Diamond 3 43 LP,,,,
themangomenace,ChewyLight28#NA1,Support|ADC,23.0,Platinum 1-4,Emerald 2 0 LP,-4.5,,Emerald 4 56 LP,,Emerald 2 0 LP,,Emerald 3 0 LP,
0nlySinful,Proud In Shroud#MAD,Mid,23.0,Emerald 4,Emerald 4 24 LP,-0.23999999999999844,Emerald 4 24 LP,Emerald 4 24 LP,,Gold 3 21 LP,,,
Lapislazuli3824,Haumea#SK1,Mid,23.0,Emerald 4,Emerald 3 23 LP,-1.2300000000000004,,,Emerald 3 23 LP,Emerald 4 41 LP,,Emerald 3 0 LP,
bouncy.knight.,Bouncy#yup,Jungle|Support,23.0,Emerald 3,Diamond 4 26 LP,-3.2600000000000016,,,Diamond 4 26 LP,Emerald 2 32 LP,,Emerald 1 65 LP,
superchicken.,SuperChicken#0123,Jungle,24.0,Emerald 4,Diamond 4 5 LP,-4.050000000000001,Emerald 3 68 LP,Emerald 1 39 LP,Diamond 4 5 LP,,,,
.monsuno,saw#fast,Top,24.0,Emerald 4,Emerald 3 32 LP,-1.3200000000000003,,Emerald 4 82 LP,Emerald 3 16 LP,Emerald 3 32 LP,,,
mrlizwiz,BronzeCena#Blind,Top,24.0,Platinum 1-4,Platinum 3 85 LP,-0.3500000000000014,Platinum 4 26 LP,Platinum 4 67 LP,,Platinum 3 85 LP,,,
slaveknightkos,SlaveKnightKos#Kos,Mid,24.0,Emerald 3,Emerald 3 42 LP,-0.4200000000000017,Emerald 4 0 LP,Emerald 3 42 LP,Platinum 1 18 LP,,,,
ausxh,Sukiha#owo,ADC|Support,25.0,Emerald 3,Emerald 2 16 LP,-1.1600000000000001,,Emerald 3 94 LP,Emerald 2 16 LP,Emerald 3 48 LP,,,
aapathyy,Ouroboros#Climb | Ouroboros#Train,Mid,25.0,Platinum 1-4,Emerald 3 15 LP,-3.6499999999999986,,Emerald 4 51 LP,Emerald 4 60 LP,Emerald 3 15 LP,,,
amuchu,Amuchu#NA1,Support,25.0,Platinum 1-4,Emerald 2 4 LP,-4.539999999999999,Emerald 4 25 LP,Emerald 4 9 LP,,Emerald 2 4 LP,,,
baomatrix,BioMatrix#EmiQT,ADC,25.0,Emerald 3,Diamond 4 1 LP,-3.0100000000000016,Emerald 2 16 LP,Emerald 2 94 LP,,Diamond 4 1 LP,,,
MajinHollow,MajinHollow#Vayne,ADC|Mid,26.0,Platinum 1-4,Emerald 4 87 LP,-3.370000000000001,,Platinum 1 86 LP,,Emerald 4 50 LP,,Emerald 4 87 LP,
recoveringschizo,evilpancakekitty#meow,Jungle|Mid,26.0,Gold 1-4,Emerald 3 31 LP,-7.809999999999999,,Platinum 1 90 LP,,Emerald 3 31 LP,,Emerald 4 0 LP,
Jerboas,Dan Smith#KLLR7,Support,26.0,Platinum 1-4,Emerald 3 48 LP,-3.9800000000000004,Emerald 4 0 LP,Emerald 4 6 LP,Emerald 3 48 LP,,,,
blizzardbear101,Harry Patterson#Fin,Mid,26.0,Emerald 4,Emerald 4 53 LP,-0.5300000000000011,,Emerald 4 53 LP,Emerald 4 53 LP,,,Emerald 4 21 LP,
Promech,Promech#NA1,Top|Mid,26.0,Platinum 1-4,Emerald 4 62 LP,-3.120000000000001,,Platinum 1 6 LP,,Emerald 4 62 LP,,Emerald 4 0 LP,
seagullslayer7,seagullslayer7#NA1,Jungle,26.0,Emerald 4,Emerald 4 36 LP,-0.35999999999999943,,Emerald 4 36 LP,Platinum 2 66 LP,,,Emerald 4 1 LP,
_aly39_,AlyXO#3976,Mid|Support,26.0,Platinum 1-4,Emerald 3 0 LP,-3.5,,,Emerald 4 0 LP,Emerald 3 0 LP,,Emerald 4 75 LP,
BirdP3Rson,BirdP3Rson#37114,ADC,26.0,Platinum 1-4,Emerald 2 0 LP,-4.5,,,Emerald 4 69 LP,Emerald 4 1 LP,,Emerald 2 0 LP,
sigilofaletheia,SigilOfAletheia#NA1,Support|Jungle,25.8,Platinum 1-4,Emerald 2 21 LP,-4.710000000000001,,,Emerald 4 0 LP,Emerald 2 21 LP,,Emerald 3 1 LP,
austinsilva,Bound#WVU1,Support|Top,27.0,Emerald 4,Emerald 4 30 LP,-0.3000000000000007,Emerald 4 30 LP,Emerald 4 30 LP,,,,Platinum 2 23 LP,
thehamburglar8920,lsoDidact#NA1,Top,27.0,Platinum 1-4,Platinum 1 6 LP,-1.5599999999999987,Platinum 4 16 LP,Platinum 1 6 LP,Gold 3 30 LP,,,,
themilkalator,FunnyyButton#NA123,ADC|Mid,28.0,Platinum 1-4,Platinum 4 38 LP,1.120000000000001,Platinum 4 14 LP,Platinum 4 38 LP,Gold 3 0 LP,,,,
sithprincehammy,The Fool#URMAM,Jungle,28.0,Platinum 1-4,Platinum 2 37 LP,-0.870000000000001,Platinum 2 37 LP,Platinum 2 37 LP,Platinum 2 17 LP,,,,
Jbish96,GumbaStomp69#NA1,ADC|Support,28.0,Platinum 1-4,Platinum 1 16 LP,-1.6600000000000001,Platinum 3 76 LP,Platinum 2 44 LP,,,,Platinum 1 16 LP,
theotherbubble,bubbles101012#NA1,Mid,28.0,Gold 1-4,Platinum 3 53 LP,-4.030000000000001,,Gold 2 60 LP,Platinum 3 53 LP,Platinum 3 45 LP,,,
notalxd,notal#8836,Jungle,28.0,Platinum 1-4,Emerald 4 14 LP,-2.6400000000000006,,,Emerald 4 14 LP,Emerald 4 1 LP,,Emerald 4 1 LP,
Monturkey,Monturkey#9268,Jungle,28.0,Platinum 1-4,Emerald 3 75 LP,-4.25,,,Emerald 3 12 LP,Emerald 3 18 LP,,Emerald 3 75 LP,
mctatertot,GAMER DESTROYER#LLT | Gamer Destroyer#dump,Jungle|Support,29.0,Emerald 3,Emerald 4 0 LP,1.0,,,,Platinum 3 2 LP,,Emerald 4 0 LP,
crimson_0range,BigBootyBarrels#Bomba,Top,29.0,Platinum 1-4,Platinum 3 59 LP,-0.08999999999999986,,Platinum 4 70 LP,,Platinum 3 41 LP,,Platinum 3 59 LP,
Bhrisy,Bhrisy#NA69,Support|Top,31.0,Platinum 1-4,Platinum 3 92 LP,-0.4200000000000017,Platinum 4 76 LP,Platinum 3 92 LP,,Gold 1 55 LP,,,
vegito3650,ICarryOrILose#FREAK,Support|Jungle,31.0,Platinum 1-4,Platinum 2 44 LP,-0.9400000000000013,,Platinum 2 44 LP,Platinum 3 31 LP,Platinum 2 25 LP,,,
Barretel,Barretel#Shaco,Jungle|Support,31.0,Platinum 1-4,Platinum 4 33 LP,1.1700000000000017,Platinum 4 33 LP,Platinum 4 33 LP,,,,,Gold 2 3 LP
Earthen,The World#URDAD | I ROAR YOU BOW#VAHIR,Top|ADC,31.0,Emerald 4,Platinum 2 8 LP,1.9200000000000017,Platinum 4 1 LP,,Platinum 2 8 LP,,,Platinum 3 4 LP,
CCswift,CCswift#NA1,Top,31.0,Platinum 1-4,Emerald 4 0 LP,-2.5,,Platinum 4 54 LP,,Platinum 3 0 LP,,Emerald 4 0 LP,
.stran,Stran#NA1,ADC,32.0,Platinum 1-4,Platinum 2 10 LP,-0.6000000000000014,,,,Platinum 3 62 LP,,Platinum 2 10 LP,
aratthe,Team Curse #NA1,Support,32.0,Gold 1-4,Platinum 1 27 LP,-5.77,,,Platinum 2 42 LP,Platinum 1 27 LP,,Platinum 4 0 LP,
.jakefromstatefarmat3am,DESTROYXXXXL#NA1,Top,32.0,Emerald 3,Emerald 4 72 LP,0.28000000000000114,,Platinum 1 25 LP,Emerald 4 59 LP,Emerald 4 72 LP,,,
kybcat,kybcat#7796,ADC|Top,32.0,Gold 1-4,Platinum 4 1 LP,-2.5100000000000016,,Gold 1 48 LP,,Gold 4 99 LP,,Platinum 4 1 LP,
owlbirdy,OWLBIRD#NA1,Mid|Top,32.0,Gold 1-4,Platinum 4 69 LP,-3.1900000000000013,,,Platinum 4 69 LP,Platinum 4 62 LP,,Platinum 4 15 LP,
darkll,Darkll#1024 | Railleyacil#79810,Mid,33.0,Gold 1-4,Platinum 4 64 LP,-3.1400000000000006,,Gold 1 31 LP,Gold 2 71 LP,Platinum 4 64 LP,,,
theencry,Encry#ssj3,Jungle|Top,33.0,Platinum 1-4,Platinum 4 2 LP,1.4800000000000004,Platinum 4 2 LP,Platinum 4 2 LP,Gold 4 8 LP,,,,
VeryLastNerve,verylastnerve#nerve,Top|Support,33.0,Silver 1-4,Platinum 4 0 LP,-6.5,,Gold 4 37 LP,,Platinum 4 0 LP,,Gold 2 30 LP,
para.dox,dont ever stop#NA1,Jungle|Support,33.0,Gold 1-4,Gold 3 82 LP,-0.3200000000000003,Gold 3 59 LP,Gold 3 82 LP,Gold 3 30 LP,,,,
Maxwelljrm,maxwell#CAN,Mid,33.0,Gold 1-4,Gold 1 27 LP,-1.7699999999999996,Gold 2 42 LP,Gold 1 27 LP,,Gold 4 37 LP,,,
bredonis,MiHughJanis#HUGH,Top|Jungle,34.0,Gold 1-4,Gold 2 92 LP,-1.42,Gold 2 3 LP,Gold 2 92 LP,Gold 4 66 LP,,,,
Flaccid4U,TryingToVibe#NA1 | Placid4U TTV#NA1,Support,35.0,Gold 1-4,Platinum 4 17 LP,-2.6700000000000017,Gold 3 68 LP,Gold 2 0 LP,,,,Platinum 4 17 LP,
tibbywibby11,The Moon#urbro,Jungle,35.0,Gold 1-4,Gold 3 0 LP,0.5,Gold 4 10 LP,Gold 4 52 LP,,Gold 3 0 LP,,,
geekee,Geekèé#0001,Support|ADC,35.0,Gold 1-4,Gold 2 76 LP,-1.2599999999999998,Gold 4 15 LP,Gold 2 76 LP,,,,,
just.neo,neo#1447,Mid,35.0,Gold 1-4,Emerald 4 0 LP,-6.5,,Gold 2 28 LP,Emerald 4 0 LP,,,Gold 4 53 LP,
jun_with_an_e,jun#9845,Support,35.0,Gold 1-4,Emerald 4 18 LP,-6.68,,,Platinum 4 23 LP,Platinum 4 6 LP,,Emerald 4 18 LP,
isolation19,Isolation#1909,ADC,35.0,Gold 1-4,Platinum 4 70 LP,-3.1999999999999993,Gold 3 77 LP,Gold 2 55 LP,Platinum 4 70 LP,,,,
chaos0002,OkNowImTilted#Aim,Top|Mid,36.0,Gold 1-4,Emerald 4 0 LP,-6.5,,Gold 3 73 LP,Emerald 4 0 LP,,,,Gold 2 16 LP
Colby115,Harbinger#115,Top,36.0,Gold 1-4,Platinum 4 1 LP,-2.5100000000000016,Gold 4 46 LP,Gold 4 93 LP,,Platinum 4 1 LP,,,
nerfseason,nerf season#lord,Top,36.0,Platinum 1-4,Emerald 4 20 LP,-2.6999999999999993,,,Platinum 1 19 LP,Emerald 4 20 LP,,,Gold 1 0 LP
SwooshWRLD,SwooshWRLD#0334,Mid|Support,37.0,Gold 1-4,Platinum 4 0 LP,-2.5,Gold 4 47 LP,Gold 4 72 LP,Platinum 4 0 LP,,,,
atamaex,Atamaex#NA1,Top|Support,36.2,Gold 1-4,Gold 2 30 LP,-0.8000000000000007,Gold 2 30 LP,Gold 2 30 LP,,,,,
Dreadsu,callmeid#SNIP,Top,37.0,Gold 1-4,Gold 3 59 LP,-0.08999999999999986,Gold 4 73 LP,Gold 3 59 LP,Silver 3 53 LP,,,,
Scardeo,scardeo#NA1,Top,37.0,Silver 1-4,Gold 2 77 LP,-5.27,,,Gold 2 77 LP,Gold 4 26 LP,,Gold 3 39 LP,
iamrowx,Row#RowX,Support,38.0,Gold 1-4,Gold 2 95 LP,-1.4499999999999993,,Gold 2 95 LP,Gold 3 23 LP,,,,Gold 4 3 LP
Goku2057,goku2057#NA1,Support,38.0,Gold 1-4,Gold 2 41 LP,-0.9100000000000001,Gold 2 41 LP,Gold 2 41 LP,,Gold 2 39 LP,,,
Tiger58,Tiger58#SDC,Support,39.0,Gold 1-4,Emerald 4 0 LP,-6.5,,Gold 3 62 LP,,Gold 3 74 LP,,Emerald 4 0 LP,
dameionaruto,DameioNaruto#GOKAI,Mid|Jungle,39.0,Gold 1-4,Platinum 4 14 LP,-2.6400000000000006,Gold 3 49 LP,,,,,Platinum 4 14 LP,Platinum 4 0 LP
fluffy_s,Fluffy#6781,ADC|Support,nan,Silver 1-4,Gold 3 50 LP,-4.0,,,Gold 4 25 LP,Gold 3 50 LP,,Gold 4 9 LP,
drjacka1,DrJackal#9921,Jungle,40.0,Silver 1-4,Gold 4 24 LP,-2.74,Silver 2 82 LP,Gold 4 24 LP,Bronze 3 9 LP,,,,
icebirb.,No Hwei#green,Mid|Support,40.0,Silver 1-4,Gold 4 0 LP,-2.5,Silver 4 58 LP,,,Gold 4 0 LP,,Silver 2 36 LP,
Serided,Serided#RoHan,ADC|Mid,41.0,Silver 1-4,Silver 1 60 LP,-2.0999999999999996,Silver 4 0 LP,Silver 1 60 LP,,,,Silver 2 0 LP,
Elvynya,Elvynya#Lucy,ADC|Support,41.0,Silver 1-4,Gold 3 47 LP,-3.9700000000000006,,,,Gold 4 0 LP,,,
shotsfortots,it is what it is#na3,ADC|Support,41.0,Silver 1-4,Gold 4 8 LP,-2.58,,,,,,,Silver 3 90 LP
datgillyweed,gilly#1111,Mid|Support,44.0,Bronze 1-4,Bronze 2 23 LP,-0.7300000000000004,Bronze 2 3 LP,Bronze 2 23 LP,,Bronze 3 78 LP,,,
jesshipo,PeachyVibes#80085,ADC|Support,45.0,Bronze 1-4,Silver 4 73 LP,-3.2300000000000004,,,Silver 4 0 LP,,,,Silver 4 73 LP
crazymike1,Expertknifer#DADDY,ADC|Support,45.0,Bronze 1-4,Silver 3 80 LP,-4.300000000000001,,Bronze 1 16 LP,Silver 3 80 LP,Silver 4 24 LP,,,
brandis_,Brandis#0704,Jungle,46.0,Bronze 1-4,Bronze 1 30 LP,-1.7999999999999998,Bronze 3 43 LP,Bronze 3 79 LP,,,,,
joshe21,Bosco23#0323,Support,46.0,Bronze 1-4,Bronze 1 7 LP,-1.5700000000000003,Bronze 1 7 LP,Bronze 1 1 LP,Iron 4 0 LP,,,,
angelofpaper2,AngelOfPaper2#NA1 | AngelOfPaper3#GGS,Mid|Top,47.0,Silver 1-4,Silver 2 9 LP,-0.5899999999999999,,Silver 2 9 LP,,Bronze 2 94 LP,,Silver 4 0 LP,
crusader_iii,WanderingNomad#Sader | ,Jungle,48.0,Bronze 1-4,Bronze 4 11 LP,1.3899999999999997,Bronze 4 0 LP,Bronze 4 11 LP,,,,,
Skymoare, | Skymoare#poro,Mid,48.0,Bronze 1-4,Bronze 4 47 LP,1.0300000000000002,Bronze 4 0 LP,Bronze 4 47 LP,,,,,
peachyboop,PeachyBoop#xdd,Support|Jungle,49.0,Iron 1-4,Bronze 4 13 LP,-2.63,,,Iron 2 26 LP,Bronze 4 13 LP,,Iron 2 63 LP,
Warmpikmin, | TahmTuah#6088,Top|Mid,49.0,Iron 1-4,Iron 1 48 LP,-1.98,Iron 3 17 LP,Iron 1 48 LP,,,,,
Lanciferp,LanciferP#NA1,Top|Jungle,50.0,Iron 1-4,Bronze 1 0 LP,-5.5,Iron 4 69 LP,Iron 2 90 LP,,,,,
